trade_date,daily_pnl_sum,daily_trades,daily_win_rate,daily_fg_value
2023-01-05,0.0,3,0.0,29.0
2023-05-12,0.0,9,0.0,49.0
2024-01-01,-129.53146,18,0.05555555555555555,65.0
2024-01-02,0.0,6,0.0,71.0
2024-01-03,8244.241409,137,0.9343065693430657,70.0
2024-01-04,2507.963406,77,0.5454545454545454,68.0
2024-01-05,0.0,14,0.0,72.0
2024-01-06,91.510419,25,0.36,70.0
2024-01-07,5065.839308,64,0.40625,71.0
2024-01-08,167.080017,57,0.07017543859649122,71.0
2024-01-09,137.433093,12,0.4166666666666667,76.0
2024-01-10,0.0,4,0.0,73.0
2024-01-11,1040.475736,23,0.2608695652173913,76.0
2024-01-12,40886.364494,416,0.53125,71.0
2024-02-01,783.979116,17,0.47058823529411764,63.0
2024-02-02,456.423473,42,0.30952380952380953,63.0
2024-02-03,230.90060000000005,31,0.6774193548387096,60.0
2024-02-04,883.760812,41,0.2926829268292683,60.0
2024-02-06,192.906947,93,0.3655913978494624,64.0
2024-02-07,2421.253116,18,0.7222222222222222,62.0
2024-02-08,782.3681909999999,63,0.2698412698412698,66.0
2024-02-09,0.0,2,0.0,72.0
2024-02-10,0.0,4,0.0,74.0
2024-02-11,0.0,2,0.0,71.0
2024-02-12,18489.604313,270,0.4074074074074074,70.0
2024-03-01,866.015507,67,0.417910447761194,80.0
2024-03-02,223.30918699999998,56,0.10714285714285714,80.0
2024-03-03,8361.086245,79,0.6835443037974683,83.0
2024-03-04,126.7884,4,0.25,82.0
2024-03-05,5306.017045,36,0.4722222222222222,90.0
2024-03-06,562.808208,70,0.6285714285714286,75.0
2024-03-07,1118.387284,18,0.2222222222222222,82.0
2024-03-08,464.1897,37,0.02702702702702703,81.0
2024-03-10,100.375782,9,0.3333333333333333,79.0
2024-03-11,0.0,6,0.0,82.0
2024-03-12,23576.539285,374,0.4304812834224599,81.0
2024-04-01,-67.60364,5,0.0,79.0
2024-04-02,47.62389499999999,35,0.2571428571428571,79.0
2024-04-03,27799.775742,300,0.8866666666666667,71.0
2024-04-04,0.0,32,0.0,70.0
2024-04-05,0.0,9,0.0,79.0
2024-04-06,52.211438,53,0.4716981132075472,75.0
2024-04-07,0.0,25,0.0,78.0
2024-04-08,-122672.000883,127,0.023622047244094488,76.0
2024-04-09,1065.785132,34,0.14705882352941177,80.0
2024-04-10,0.0,1,0.0,78.0
2024-04-11,2799.410474,36,0.6388888888888888,76.0
2024-04-12,292891.815021,319,0.46394984326018807,79.0
2024-05-01,164.141565,66,0.19696969696969696,54.0
2024-05-02,-33.45419400000003,72,0.19444444444444445,43.0
2024-05-03,19791.026041,180,0.9055555555555556,48.0
2024-05-04,10706.484306,100,0.9,67.0
2024-05-05,0.916,6,0.16666666666666666,69.0
